Filename,Cov,Pred,BG accuracy,BG precision,BG recall,BG f1-score,BG support (%),SP accuracy,SP precision,SP recall,SP f1-score,SP support (%),OSR accuracy,OSR precision,OSR recall,OSR f1-score,OSR support (%),mean accuracy,mean precision,mean recall,mean f1-score,mean support (%),overall accuracy,overall precision,overall recall,overall f1-score,overall support (%)
cropped_180926_Md_A_M10_1,0.2214099966227626,0.22624620060790274,0.9637552653802791,0.9799199942385376,0.9738332310374966,0.9768671312240428,77.85900033772374,0.972547808932819,0.7774101195528637,0.7666127567812961,0.7719736851503961,5.951367781155016,0.9720863668010418,0.901283401442126,0.9328083441981747,0.9167749425305031,16.189631881121244,0.9694631470380465,0.8862045050778424,0.8910847773389893,0.8885385863016473,100.0,0.9656273166360734,0.9551369119052416,0.9548590003377238,0.9549444645499247,100.0
cropped_180926_Pr_A_M11_2,0.6700244849712935,0.6424299223235393,0.9117872606505351,0.8466562457202496,0.9174587984842243,0.8806366959791436,32.99755150287066,0.8841022247487236,0.5927271450885414,0.6200407571279076,0.6060763764266743,13.796605876393112,0.8850344564530863,0.9234723886656147,0.8645429011219194,0.8930365445564272,53.205842620736234,0.8936413139507816,0.7876185931581352,0.8006808189113505,0.7932498723207484,100.0,0.8937336104624959,0.852493324623454,0.8482708544410672,0.849354134716763,100.0
cropped_181010_Pr_D_M19_3,0.9208451536643026,0.8744461330631543,0.9362685271991289,0.6001371834357726,0.951925846124308,0.7361635259035623,7.91548463356974,0.8284747818742986,0.31165823697520567,0.48145437988844986,0.37838062345645485,10.384498480243161,0.8028633721426937,0.9356821817898027,0.8177480610341495,0.8727490506500138,81.7000168861871,0.8558688937387071,0.6158258674002602,0.7503760956823026,0.6624310666700103,100.0,0.8160826531459231,0.8443204119407524,0.7934464707868963,0.8105999626183108,100.0
cropped_181015_Md_A_M17_2,0.38542806484295844,0.3856720702465383,0.9536290481034987,0.9637085801459573,0.9633259559361944,0.9635172300549155,61.457193515704155,0.937608074855199,0.7652465029000342,0.7308862065688178,0.7476717941595193,12.436845660249915,0.9487722383290312,0.8958152748163567,0.9158147342003047,0.9057046126585437,26.105960824045933,0.9466697870959097,0.8749234526207826,0.8700089655684389,0.8722978789576595,100.0,0.9503686275303168,0.9213019582132604,0.9220145221209051,0.921580327079059,100.0
cropped_181016_Pr_D_M13_2,0.8153174603174603,0.7406399864910503,0.9083089126919968,0.6906206663064072,0.9698772046923717,0.8067667571740403,18.46825396825397,0.8870692313792526,0.8281763384942679,0.7131623050148254,0.7663781726443503,24.887369132049983,0.8891108591130847,0.9374013449174184,0.8710157759175788,0.9029900794263992,56.64437689969605,0.8948296677281115,0.8187327832393646,0.8513517618749252,0.82537833641493,100.0,0.8921482969745786,0.8646420319139215,0.8499881796690307,0.8512202023769616,100.0
cropped_190913_Pr_A_M11_4,0.04989157107801176,0.05128735566588674,0.96826680553789,0.9841647388485224,0.9827189228420552,0.9834412994503808,95.01084289219882,0.9723305012754503,0.48378444281882466,0.6303558460421206,0.5474289993890301,2.6194144838212634,0.9770917311550761,0.5350980528029936,0.38741721854304634,0.44943689433402206,2.369742623979912,0.9725630126561389,0.6676824114901135,0.6668306624757406,0.6601023977244777,100.0,0.9685823785965032,0.9604159802308178,0.959381955144667,0.9593658001093589,100.0
cropped_190913_Pr_D_M12_4,0.0934093762483593,0.08588593087180658,0.956832896788313,0.9724242877488246,0.980494061271781,0.9764425017075856,90.65906237516407,0.9652329152061184,0.7849778340721976,0.6040115395111302,0.682705971776992,6.099364644562385,0.9779582621967625,0.6410389451837383,0.7703282596735742,0.6997617818054608,3.241572980273545,0.9666746913970646,0.7994803556682535,0.7849446201521618,0.7863034184300127,100.0,0.9580300386788896,0.9502491473006097,0.9507183416081721,0.949557632194861,100.0
cropped_190927_Pr_D_M15_2,0.3860557077364987,0.3748002625121269,0.9620147195220371,0.961014190142586,0.9786324703567646,0.9697433146973516,61.394429226350134,0.9646780158908465,0.8118798625470449,0.7668109140978447,0.788702067241342,8.461973786832544,0.9706845735468385,0.962495413731791,0.941555342570571,0.9519102324338766,30.14359698681733,0.9657924363199073,0.9117964888071407,0.8956662423417269,0.9034518714575235,100.0,0.9648534928192128,0.948840976503486,0.9495318058171166,0.9490481193464398,100.0
cropped_180919_Pr_D_M01_2,0.3867814927389395,0.3691869300911854,0.9608276982876189,0.955663969697578,0.983084031854781,0.9691800973374389,61.32185072610604,0.9740325496022464,0.008644253109197758,0.27116827438370844,0.01675441210555942,0.078774062816616,0.9440687820911614,0.9793920053333726,0.8740471289736226,0.9237257966082888,38.599375211077344,0.9596430099936756,0.6479000760467161,0.709433145070704,0.6365534353504291,100.0,0.9543692633415076,0.9640768372964255,0.940435663627153,0.9508847568418566,100.0
cropped_180920_Md_A_M01_1,0.09982353934481594,0.13514606551840594,0.9617284853473654,0.9984526516279374,0.9592738111875322,0.9784711997405408,90.0176460655184,0.9830459857535866,0.13156545649438411,0.7642122360584732,0.22448411593972406,0.31188787571766297,0.9638899234571037,0.760327537695693,0.9201306128150729,0.8326308429489585,9.670466058763932,0.9695547981860185,0.6301152152726716,0.8812055533536928,0.6785287195430745,100.0,0.9620039931853218,0.9727211272499562,0.9548801080715974,0.9620161632381786,100.0
cropped_181009_Md_A_M01_2,0.49596082404593045,0.4802963525835866,0.9559119626072218,0.9430952160471263,0.972404620559345,0.9575256840912446,50.40391759540695,0.9769900029572908,0.4688358869057021,0.610087971717504,0.5302156088672944,2.05386693684566,0.9508481633841723,0.9703652961236616,0.9257631994885365,0.9475396665267046,47.54221546774738,0.9612500429828948,0.7940987996921635,0.8360852639217952,0.8117603198284146,100.0,0.9539374351714307,0.9463193607191982,0.9427887537993921,0.9440017297512289,100.0
cropped_181009_Md_A_M02_1,0.5719782168186424,0.5482075312394461,0.9688430013418688,0.9396303141638152,0.9918137721940471,0.9650171008740447,42.802178318135766,0.9778567577476331,0.7072591390997045,0.7770187126066109,0.7404996107847994,3.9795677136102667,0.9662737262396632,0.9943415551769498,0.9425939646241495,0.9677765099594327,53.21825396825397,0.9709911617763884,0.8804103361468232,0.9038088164749358,0.8910977405394256,100.0,0.9678343865325413,0.9594993130967805,0.9570719351570416,0.9575507846621297,100.0
